C3,130.81,263.74
C#3,138.59,248.93
D3,146.83,234.96
D#3,155.56,221.77
E3,164.81,209.33
F3,174.61,197.58
F#3,185,186.49
G3,196,176.02
G#3,207.65,166.14
A3,220,156.82
A#3,233.08,148.02
B3,246.94,139.71
C4,261.63,131.87
C#4,277.18,124.47
D4,293.66,117.48
D#4,311.13,110.89
E4,329.63,104.66
F4,349.23,98.79
F#4,369.99,93.24
G4,392,88.01
G#4,415.3,83.07
A4,440,78.41
A#4,466.16,74.01
B4,493.88,69.85
C5,523.25,65.93
C#5,554.37,62.23
D5,587.33,58.74
D#5,622.25,55.44
E5,659.25,52.33
F5,698.46,49.39
F#5,739.99,46.62
G5,783.99,44.01
G#5,830.61,41.54
A5,880,39.2
A#5,932.33,37
B5,987.77,34.93
